,humidity,rain,temperature,timestamp,hour,t_Delta,h_Delta,r_Delta
1298,52.6,103,14.9,11.028,11,0.699999999999999,-1.9,-1
31,41.2,172,18.1,11.032,11,0.199999999999999,-1.6,2
1481,68.2,231,15.5,11.033,11,0.300000000000001,-1.2,-9
911,46.3,97,19.7,11.04,11,0.5,-2,2
1186,48.2,100,20.8,11.044,11,0.399999999999999,-1.8,0
1359,62.6,105,13.3,11.05,11,0.299999999999999,-0.800000000000004,-2
1982,56.1,221,11.2,11.055,11,0.100000000000001,-1.2,-1
599,54.9,127,10.1,11.065,11,-0.0999999999999996,-1.5,-1
853,50.8,123,16.5,11.076,11,0.199999999999999,-1,0
1759,56.3,225,16.9,11.083,11,-0.0999999999999979,-0.399999999999999,-3
384,50.4,177,14.5,11.091,11,0.300000000000001,1,-7
485,51.2,127,14.4,11.094,11,-0.5,2,-1
253,51.7,152,18,11.105,11,0.600000000000001,-1.8,11
143,51.4,170,13.3,11.105,11,0.299999999999999,-1.9,-8
729,58.7,126,11.6,11.107,11,0,-0.5,0
32,39.6,174,18.3,11.117,11,0,1.5,-7
1482,67,222,15.8,11.12,11,0.5,-1.2,13
912,44.3,99,20.2,11.126,11,-0.199999999999999,0.5,1
1187,46.4,100,21.2,11.13,11,-0.0999999999999979,1,0
1360,61.8,103,13.6,11.136,11,0.200000000000001,-2.8,0
1983,54.9,220,11.3,11.144,11,-0.100000000000001,6,-1
600,53.4,126,10,11.152,11,0,1.4,0
854,49.8,123,16.7,11.162,11,0.300000000000001,-0.0999999999999943,0
1760,55.9,222,16.8,11.169,11,-0.199999999999999,0.399999999999999,0
385,51.4,170,14.8,11.177,11,-0.100000000000001,-1.1,-3
486,53.2,126,13.9,11.18,11,-0.0999999999999996,1,-1
144,49.5,162,13.6,11.191,11,0,0,-8
254,49.9,163,18.6,11.192,11,0.399999999999999,-1.1,-10
730,58.2,126,11.6,11.194,11,0.4,0.599999999999994,0
1299,50.7,102,15.6,11.2,11,0.0999999999999996,-0.100000000000001,1
33,41.1,167,18.3,11.204,11,0,2,6
1483,65.8,235,16.3,11.206,11,0.300000000000001,-2.7,-12
913,44.8,100,20,11.212,11,0,1.3,-1
1188,47.4,100,21.1,11.216,11,0,-1.1,-2
1361,59,103,13.8,11.222,11,0.299999999999999,-1,2
1984,60.9,219,11.2,11.23,11,0.300000000000001,-1.9,1
601,54.8,126,10,11.239,11,0.5,-0.0999999999999943,-1
855,49.7,123,17,11.248,11,0.399999999999999,-1.5,1
487,54.2,125,13.8,11.266,11,0,-0.300000000000004,0
145,49.5,154,13.6,11.277,11,0.4,-1.8,16
255,48.8,153,19,11.279,11,0,0,1
731,58.8,126,12,11.28,11,0.800000000000001,-3.09999999999999,0
34,43.1,173,18.3,11.289,11,0.0999999999999979,-1.5,-21
1484,63.1,223,16.6,11.292,11,0.399999999999999,-0.5,5
914,46.1,99,20,11.298,11,0.100000000000001,-0.100000000000001,2
1362,58,105,14.1,11.308,11,-0.0999999999999996,0.899999999999999,-1
1985,59,220,11.5,11.316,11,0.0999999999999996,-5.7,0
602,54.7,125,10.5,11.325,11,-0.0999999999999996,-0.400000000000006,2
1761,56.3,222,16.6,11.344,11,-0.600000000000001,4.8,0
488,53.9,125,13.8,11.352,11,-0.200000000000001,-0.299999999999997,-1
146,47.7,170,14,11.363,11,-0.199999999999999,1,2
256,48.8,154,19,11.364,11,0,-0.399999999999999,20
732,55.7,126,12.8,11.366,11,0.199999999999999,-1.90000000000001,-1
35,41.6,152,18.4,11.376,11,-0.199999999999999,1.5,2
1485,62.6,228,17,11.378,11,-0.100000000000001,-0.899999999999999,-3
915,46,101,20.1,11.384,11,0.299999999999997,-1.4,-1
1363,58.9,104,14,11.395,11,0.300000000000001,-0.699999999999996,-1
1986,53.3,220,11.6,11.402,11,-0.0999999999999996,4.8,0
603,54.3,127,10.4,11.412,11,-0.0999999999999996,-1.8,0
